name,address,phone,neighbourhood,price,cuisine,price_cuisine
"Flor De Sal Restaurant","501 Davenport Rd","416-923-2604","Annex","$33 Lunch","Mediterranean","$33 Lunch | $53 DinnerMediterranean"
"Thoroughbred Food and Drink","304 Richmond St W","416-551-9221","Entertainment District","$28 Lunch","Canadian, International","$28 Lunch | $43 DinnerCanadian, International"
"Tutti Matti","364 Adelaide St W","416-597-8839","Entertainment District","$28 Lunch","Italian","$28 Lunch | $43 DinnerItalian"
"Verdi Restaurant","1566 Bayview Ave","416-440-0452","Midtown","$23 Lunch","Italian","$23 Lunch | $33 DinnerItalian"
"Tapas at Embrujo","97 Danforth Ave","416-463-8272","Danforth/Greektown","$23 Lunch","Spanish, Tapas","$23 Lunch | $33 DinnerSpanish, Tapas"
"Nord Bistro","406 Dupont St","416-925-6673","Annex","$28 Lunch","Contemporary, French, Seafood","$28 Lunch | $43 DinnerContemporary, French, Seafood"
"Coppi Ristorante","3363 Yonge St","416-484-4464","North Toronto","$43 Dinner","Italian","$43 DinnerItalian"
"Leña","176 Yonge St","416-507-3378","Downtown, Financial District","$28 Lunch","Argentinian, Spanish, Tapas","$28 Lunch | $43 DinnerArgentinian, Spanish, Tapas"
"R&D","241 Spadina Ave","416-586-1241","Downtown, North Toronto","$33 Dinner","Asian, Chinese, Contemporary","$33 DinnerAsian, Chinese, Contemporary"
"lbs. Restaurant","100 Yonge St","647-351-4747","Downtown, Financial District","$33 Lunch","American, Canadian, Seafood","$33 Lunch | $53 DinnerAmerican, Canadian, Seafood"
"Kasa Moto","115 Yorkville Ave","647-348-7000","Yorkville","$33 Lunch","Contemporary, Japanese","$33 Lunch | $53 DinnerContemporary, Japanese"
"Carens Rosedale","1118 Yonge St","647-352-8111","Annex, Midtown","$28 Lunch","French","$28 Lunch | $43 DinnerFrench"
