web-scraper-order,web-scraper-start-url,restaurant_name,lunch_price,lunch_menu,dinner_price,dinner_menu
"1529980372-243","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Chop Steakhouse & Bar","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerCaesar Salad
house-baked focaccia croutons, Grana Padano
or
Artisan Greens Salad  (vegetarian)
with basil honey lime vinaigrette
or
Feature Soup
ask your server about today's creation
main
Steak Sandwich
top sirloin, tomatoes, arugula, Dijon mustard, crispy onions, served with mashed potatoes
or
Chop Salad with Chicken
bacon, medium boiled eggs, herbed goat cheese, avocado, basil, tomatoes & fresh greens, dressed in red wine vinaigrette
or
Tomato Basil Linguine  (vegetarian)
capers, fresh chilies, lightly smoked tomato sauce
or
The Chop Burger
100% Canadian fresh ground chuck, smoked white cheddar, bacon, tomato jam & Dijon mayo, served with Chop cut fries
or
Carolina Club
house-smoked pulled chicken, smoked white cheddar, bacon, toasted filone, served with Chop cut fries
desserts
Crème Brûlée
vanilla custard under caramelized sugar
or
Warm Apple Crumble
granny smith apples & raspberry compote, brown sugar crumble, vanilla bean gelato
or
Fallen Chocolate Soufflé Cake
with mascarpone mousse & fresh vanilla anglaise","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerCaesar Salad
house-baked focaccia croutons, Grana Padano
or
Artisan Greens Salad  (vegetarian)
with basil honey lime vinaigrette
or
Feature Soup
ask your server about today's creation
main
Oven Roasted Chicken
free-run chicken with basil lemon pan jus, served with wild rice pilaf & fresh seasonal vegetables
or
Prime Rib
fresh slow roasted prime rib rubbed with rock salt, cracked pepper & fresh herbs, served with hand shaved fresh horseradish & au jus, with choice of mashed potatoes, wild rice pilaf, baked potato or Chop cut fries
or
Slow Baked Salmon
butternut squash purée & arugula pesto, served with herb quinoa & fresh seasonal vegetables
or
Top Sirloin
served with choice mashed potatoes, wild rice pilaf, baked potato, Chop cut fries or fresh seasonal vegetables
or
Lobster Linguine  (can be made vegetarian)
chunks of lobster, fresh torn basil, capers & chilies in a lightly smoked tomato sauce
or
Smoked Baby Back Ribs
half rack served with mashed potatoes & fresh seasonal vegetables
desserts
Crème Brûlée
vanilla custard under caramelized sugar
or
Warm Apple Crumble
granny smith apples & raspberry compote, brown sugar crumble, vanilla bean gelato
or
Fallen Chocolate Soufflé Cake
with mascarpone mousse & fresh vanilla anglaise"
"1529980372-239","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Carens Rosedale","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerVichyssoise Soup (vegetarian)
or
Salade Maison (vegetarian)
organic greens, cucumber, flax seeds, goat cheese, Dijon vinaigrette
or
Salted Cod Croquettes
main
Mac and Cheese (vegetarian)
baked penne, spicy cheese sauce
or
Seared Salmon
tomato and basil salad
or
Grilled Steak Sandwich (local)
flat iron, toasted baguette, caramelized onions, swiss and gruyere cheeses
desserts
Crème Brulee
or
Flourless Chocolate Cake
or
Fresh Fruit with Crème Anglaise (vegetarian/local)","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerVichyssoise Soup (vegetarian)
or
Salade Maison
organic greens, cucumber, flax seeds, goat cheese, Dijon vinaigrette
or
Chicken Liver & Foie Gras Pate
main
Risotto aux Champignon  (vegetarian)
with truffled oil
or
Poached Salmon
braised shallots, baby vegetables, citrus beurre blanc
or
Coq au Vin
red wine braised poussin, baby vegetables, pomme puree
desserts
Crème Brulee
or
Flourless Chocolate Cake
or
Fresh Fruit with Crème Anglaise (vegetarian/local)"
"1529980372-222","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Bier Markt Don Mills","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerMarkt Salad
spinach, baby arugula, shaved heirloom carrots, fennel, radish, Grana Padano and Cider vinaigrette.
or
Daily Soup
served with toasted baguette
or
Drunken' Duck Wings
duck drummettes marinated and slow-braised in Bier. Fried crisp and dry spice rubbed with Gold BBQ &
main
Markt Burger
hand-pressed chuck patty with vine-ripened tomato, iceberg lettuce, shaved red onion, kosher pickle and Dijonnaise on a black & white sesame bun with Markt frites
or
Garden Melt
roasted mushrooms, red peppers, tomatoes, mozzarella cheese, Witbier vinaigerette dressed arugula, and lemon garlic aioli on a grilled bistro bread
or
Chicken ABT 2.0
grilled chicken breast, house-smoked bacon, white cheddar, vine ripened tomato, avocado & jalapeño puree, crispy potato chips and dijonnaise on a Pane Bianco bun with Markt frites
or
Spicy Smoked Sausage Pizza
Hand-stretched pizza, tomato sauce, mozzarella cheese, smoked gouda, banana peppers, jalapeño & cheese sausage
desserts
Flourless Chocolate Cake
rich & moist cake with vanilla anglaise
or
Markt Donuts
three made-to-order sour cream donuts, cinnamon sugar dust, coffee anglaise dip
or
EVOO Orange Cheesecake
house-made cheesecake & gingersnap crust with EVOO and orange compote","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerMarkt Salad
spinach, baby arugula, shaved heirloom carrots, fennel, radish, Grana Padano and Cider vinaigrette
or
Daily Soup
served with toasted baguette
or
Drunken' Duck Wings
duck drummettes marinated and slow-braised in Bier. Fried crisp and dry spice rubbed with Gold BBQ & hot lingonberry sauce
main
Roasted Cauliflower
seared cauliflower steak, coconut curried cauliflower purée, quinoa pilaf, roasted cherry  tomatoes and basil pistou
or
Atlantic Salmon
seared Jail Island Atlantic salmon cooked to order and served with quinoa pilaf, roasted fennel & tarragon, basil pistou, baby spinach, pickled red onion & zucchini
or
Chicken Schnitzel
pounded thin, breaded in-house and fried crisp. Served with Yukon gold mash and Markt veg with mushroom, tomato and onion gravy
or
Gouda Beef Dip
24-hour slow cooked beef stacked with smoked gouda, caramelized onions and mushrooms on a toasted baguette. Served with Markt frites.
desserts
Flourless Chocolate Cake
rich & moist cake with vanilla anglaise.
or
Markt Donuts
three made-to-order sour cream donuts, cinnamon sugar dust, coffee anglaise dip
or
EVOO Orange Cheesecake
house-made cheesecake & gingersnap crust with EVOO and orange compote"
"1529980372-364","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","The Anne Boleyn","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerWedge salad
grape tomatoes, stilton, buttermilk, dill, bermuda onion, seeds
or
Pub potato salad
new potatoes, fava beans, smoked haddock, poached egg
or
Caesar salad
parmasen, sourdough, bacon, baby romaine, lemon
or
Crab cake
remoulade, frisee salad
main
Bacon cheeseburger
russian dressing, white onion, iceberg lettuce, pickles brioche, fries
or
Eggplant melt
red sauce, provolone, pepperoncini, green olive, arugula salad
or
Butler steak
chimichurri, smashed potatoes, watercress
or
Gnocchi
roasted ricotta, cold pressed canola oil, basil
or
Fish & chips
beer battered haddock, tartare sauce
desserts
Lemon tart
blueberries, mint
or
Vegan chocolate mousse
berries, cocoa nibs
or
Trifle
custard, raspberries, pistachios

 (lunch portions)","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerWedge salad
grape tomatoes, stilton, buttermilk, dill, bermuda onion, seeds
or
Pub potato salad
new potatoes, fava beans, smoked haddock, poached egg
or
Caesar salad
parmasen, sourdough, bacon, baby romaine, lemon
or
Crab cake
remoulade, frisee salad
main
Bacon cheeseburger
russian dressing, white onion, iceberg lettuce, pickles brioche, fries
or
Eggplant melt
red sauce, provolone, pepperoncini, green olive, arugula salad
or
Butler steak
chimichurri, smashed potatoes, watercress
or
Gnocchi
roasted ricotta, cold pressed canola oil, basil
or
Fish & chips
beer battered haddock, tartare sauce
desserts
Lemon tart
blueberries, mint
or
Vegan chocolate mousse
berries, cocoa nibs
or
Trifle
custard, raspberries, pistachios"
"1529980372-393","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","ViBo Restaurant","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerItalian gazpacho soup (local)
or
Polenta fries with gorgonzola mushroom sauce  (vegetarian)
or
Ontario heirloom beets and goat cheese salad (vegetarian/local)
or
Asparagus and quail egg appetizer, marinated heirloom tomato tarragon dressing (vegetarian)
main
Herbed pork tenderloin with a maple pecan crunch roasted local vegetables (local)
or
Linguine roast bromelake duck tomato black olive d.o.p., tomato sauce
or
Grilled branzino fillet, mediterranean basil olive oil
or
Linguine sundried tomato, polpette di tonno e ricotta lemon twist
or
Sicilian eggplant alla parmigiana (vegetarian/local)
desserts
Warm sticky toffee caramel date cake with lime sour cream (vegetarian)
or
Blood orange sorbetto (vegetarian/local)
or
Pistachio olive cake, grape fruit curd, meringue, Sicilian pistachio ice cream","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerItalian gazpacho soup (local)
or
Polenta fries with gorgonzola mushroom sauce (vegetarian)
or
Ontario heirloom beets and goat cheese salad (vegetarian/local)
or
Asparagus and quail egg appetizer, marinated heirloom tomato tarragon dressing (vegetarian)
or
Polpette di tonno e ricotta, lemon twist
main
Herbed pork tenderloin with a maple pecan crunch, roasted local vegetables (local)
or
Linguine roast bromelake duck sundried tomato black olive d.o.p, tomato sauce
or
Grilled fillet of branzino, Mediterranean basil olive oil
or
Grilled polenta braised rabbit ragu
or
Sicilian eggplant alla parmigiana (vegetarian/local)
desserts
Warm sticky toffee caramel date cake with lime sour cream (vegetarian)
or
Blood orange sorbetto (vegetarian/local)
or
Pistachio olive cake, grape fruit curd, meringue, sicilian pistachio ice cream"
"1529980372-221","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Biagio Ristorante","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerCold Gazpacho Soup
or
Insalata Russa
Potato, carrots, peas, and boiled eggs in a creamy mayonnaise dressing
or
Seafood Salad
main
Pollo Scaloppine
Chicken scaloppini with mushroom sauce
or
Tagliolini Pasta
Crab meat chilli and brown butter sauce
or
Risotto Contadina
Rice with zucchini, sweet pepper, goat cheese and saffron
desserts
Ice Cream
Ask your server for flavours
or
Fresh Fruit Cup
Fresh mix berries
or
Tiramisu
Lady fingers soaked in coffee and covered with mascarpone cream cheese","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerCold Gazpacho Soup
or
Insalata Biagio
Variety of lettuce tossed in balsamic dressing topped with parmigiano cheese
or
Stracchino Cheese Salad
Arugula, cherry tomato, olives and almonds
main
Veal Chop
Mushroom porcini sauce
or
Sea Bass
Lemon, capers and white wine
or
Casarecce Pasta
Fresh tomato buffalo mozzarella and basil
desserts
Ice Cream
Ask your server for flavours
or
Sicilian Cannoli
Cannoli filled with ricotta cream and candied fruit
or
Tiramisu
Lady fingers soaked in coffee and covered with mascarpone cream cheese"
"1529980372-219","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Bella Vista Trattoria & Wine Bar","null","null","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerBeet Salad  (vegetarian)
tossed beets with goat cheese and roasted walnuts
or
Grilled Calamari
grilled calamari with arugula salad and kalamata olives
or
Pear and Spinach Salad
with roasted walnuts and gorgonzola cheese in a house made vinaigrette
main
Stuffed Chicken breast
with ricotta cheese and spinach in a honey mushroom reduction
or
Fillet of Sole
in a white wine lemon butter sauce served with potatoes and sautéed vegetables
or
Butternut Squash Ravioli (vegetarian)
in a gorgonzola rose sauce
desserts
Chocolate Tartufo
or
Tiramisu
or
Blueberry Lemon Cheesecake"
"1529980372-259","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Figures","null","null","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerGazpacho  (vegan)
Ontario corn, avocado, jalapeno, cilantro
or
Caprese
Vine ripened tomatoes, marinated bocconcini, roasted garlic, fresh marjoram
or
Summer Rolls
Marinated salmon, pickled mango, seasonal vegetables, sweet chili soya
main
Pho  (vegan)
Asian vegetables, crisp rice noodles, fried tofu, lemongrass and miso broth
or
TV Dinner
Buttermilk chicken, creamy new potato salad, black truffle and lemon peas, chipotle biscuit
or
Tilapia en Papillote
Cherry tomato tabbouleh, grilled peppers and scallions, basil and yuzu vinaigrette
desserts
Berries and Sorbet  (vegan)
Chef's choice sorbet, freeze dried fruit, pickled ginger syrup
or
Pot de Crème
Wild blueberries, milk chocolate ganache, sea salt cookie
or
Figures Doughnuts
Lemon meringue, peach cobbler"
"1529980372-330","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Ocho Hotel","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerChilled Asparagus Soup  (vegetarian)
with yogurt and smoked paprika served with ciabatta roll
or
Chilled Calamari Salad
marinated with apple, blackberry and orange in oregano lemon olive oil
or
Chicken Sauté
marinated in sesame served in cast iron with rapini
main
Pulled Pork
in balsamic and brown sugar on mini buns with cilantro, romaine lettuce served with mango
or
Salmon Fillet
on kale and swiss chard salad with pickled cauliflower, pine nuts, sultanas, roasted sweet potato
or
Pan-Fried Crispy Gnocchi  (vegetarian)
with mushroom, asparagus, red pepper fresh herbs and asiago cheese
desserts
Pistachio Ice Cream  (vegetarian)
in sugar cone wafer
or
Mango Cheesecake  (vegetarian)
or
Raspberry Sorbet  (vegetarian)","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerChilled Asparagus Soup  (vegetarian)
with yogurt, smoked paprika and ciabatta roll
or
Chicken Liver Pate
with sundried tomato and pineapple relish, basil pesto and French baguette
or
Prosciutto Wrapped Scallop And Garlic Shrimp
on herb crostini with black olive tapenade and sweet pepper
main
Ahi Tuna
on mango, red pepper and asparagus salad with fingerling potatoes and spiced aioli
or
Tempura Battered Pork Loin
with grilled vine tomato, pineapple avocado salad served with chive ranch
or
Pan-Fried Crispy Gnocchi  (vegetarian)
with mushroom, asparagus, red pepper fresh herbs and asiago cheese
desserts
Pistachio Ice Cream
served in sugar cone
or
Mango Cheesecake
or
Raspberry Sorbet"
"1529980372-285","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Katsura Japanese Restaurant","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerkatsura's signature lunch
a tempting combination of grilled black cod and tempura or sashimi and tempura or grilled beef and sashimi served in a traditional two-layer lacquer bento box
or
shinshu miso soup
or
kakitama soup or green salad
main
sashimi tuna & salmon
with assorted tempura
or
grilled gindara black cod
with assorted tempura
or
sashimi tuna & salmon
with grilled beef skewer ginger sauce
desserts
green tea ice cream
or
pear sorbet
or
anmitsu (traditional)","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizernishikimori salad
or
seafood marinated rice vinegar ""nanban""
or
nameko mushroom miso soup
main
premium us wagyu beef striploin (4.5oz)
or
marinated aaa beef skewers & lobster tail
or
atlantic salmon & lobster tail
includes seasonal vegetables and steamed rice
desserts
green tea ice cream & noir sesame ice ceam
or
pear sorbet with berries
or
anmitsu (traditional)"
"1529980372-209","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Auberge du Pommier","$33 Lunch","$33 LunchPlus taxes and gratuityappetizerSoupe (vegetarian)
chilled pea & yoghurt soup, mint Chantilly, sourdough, verbena oil
or
Croquette
wild boar, plum preserve, sauce gribiche, Pecorino, baby gem, white balsamic vinegar
or
Terrine (local)
pressed rabbit & apricot, carrot rémoulade, brown butter crumble, duck fat madeleines
or
Salade (vegetarian/local)
100km greens, green tomato, pickled pear, smoked rye, fromage bleu, pecan beer nuts
main
Agnolotti (vegetarian)
fresh ricotta, charred pine nuts, oven-dried tomato, king oyster mushroom, basil pesto
or
Niçoise
albacore tuna, black olive, new potato, white anchovy, green beans, cherry tomato, smoked hen’s egg
or
Boeuf
flat iron steak, gherkin mustard, salade de pommes de terre, Espelette broccolini, sauce au poivre
or
Poulet
chicken suprême, smoked cheddar, fricassée of mushrooms, Kozlik's mustard crème vin blanc
desserts
Crème Prise
yoghurt panna cotta, orange, basil Linzer biscuit, strawberry sorbet
or
Parfait
green apple bavarois, poached apples, brown sugar croustillant, rum raisin ice cream
or
Forêt-Noire (vegetarian)
chocolate genoise, poached cherries, chocolate streusel, raspberry ice cream","$53 Dinner","$53 DinnerPlus taxes and gratuityappetizerSoupe (vegetarian)
chilled sweet pea & yoghurt velouté, curried shrimp, mint Chantilly, sourdough, verbena oil
or
Terrine (local)
pressed rabbit & apricot, carrot rémoulade, brown butter crumble, duck fat madeleines
or
Truite (local)
smoked rainbow trout, fennel pastry, creamed shallots, asparagus, lime dill emulsion
or
Salade (vegetarian/local)
100km greens, green tomato, pickled pear, smoked rye, fromage bleu, pecan beer nuts, cider aioli
main
Ravioli (vegetarian)
ratatouille, pine nut relish, king oyster mushrooms, basil pesto, fresh sheep's milk cheese
or
Poisson
Atlantic salmon, caper & corn relish, sea greens, crispy artichokes, saffron polenta
or
Poulet
Cornish hen cordon bleu, tomato fondue, applewood-smoked cheddar,  sauce aux champignons & Cognac
or
Boeuf
petit tenderloin, braised ox cheek, fingerling potato, Espelette broccolini, salsa verde
desserts
Crème Prise
yoghurt panna cotta, orange, basil Linzer biscuit, strawberry sorbet
or
Fromage
tasting of local and French cheeses, Ontario honey, elderflower orange marmalade
or
Forêt-Noire (vegetarian)
chocolate genoise, poached cherries, chocolate streusel, raspberry ice cream"
"1529980372-384","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Tutti Matti","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerprosciutto
prosciutto with summer fruits , focaccia
or
panzanella
heirloom tomato, country bread, celery, cucumber, basil , tuna
or
zuppa
tomato soup , mozzarella crema
main
pacarri
zucchini , eggplant, tomato,  capers
or
crostone
ricotta , smashed egg, green onion
or
arrosto
rare roast beef, boston bib lettuce pesto , deep fried,  arugula, toasted country
or
fettucine
ricotta, lemon
desserts
torta a cioccolato
chocolate, strawberry, crema
or
gelato e bicotti
vanilla, raspberry
or
panna cotta
cooked cream, rhubarb, mint","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizertoscana
salumi, italian cheeses, olives, marinated summer vegetables
or
maremma
roasted pork , deep fried shallots, tuna mayo, toasted country  bread
or
foccacia
heirloom  tomatoes, mozzarella,  prosciutto
or
insalata
summer greens, strawberries , pamigiano
main
maiale
pork chop, rhubarb, honey, summer yukon potatoes , rosemary
or
fettucine
short  pasta,  fresh peas, pancetta, lemon
or
bistecca
flank  steak, boston bib lettuce pesto ,  roasted onion,  cauliflower
or
paccari
baked  pasta, tomato, ricotta, béchamel ,  parmigiano
desserts
torta a cioccolato
chocolate, strawberry, crema
or
gelato e bicotti
vanilla, raspberry
or
panna cotta
cooked cream, rhubarb, mint"
"1529980372-362","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Tapas at Embrujo","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerGazpacho Andaluz
Fresh vegetable cold soup
or
Ensalada Sevillana
Mixed green salad with oranges and olives topped with a citrus dressing
or
Boquerones en Vinagre
Fresh anchovies marinated in vinegar and extra virgin olive oil
main
Paella Valenciana
Traditional Spanish dish with rice, chicken, shrimp, squid and mussels
or
Garbanzos de la Castilla (Castilian Spinach and Chickpea stew) (vegetarian)
Galician style stewed pork with seasonal vegetables
or
Pollo al Chilindron
Chicken with peppers, tomatoes, onions and Spanish ham
desserts
Delicias de Queso de Cabra
Goat cheese fritters with honey and seville orange jelly
or
Tarta de Santiago
Spanish almond cake
or
Flan
Spanish custard","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerGazpacho Andaluz
Fresh vegetable cold soup
or
Ensalada Sevillana
Mixed green salad with oranges and olives topped with a citrus dressing
or
Boquerones en Vinagre
Fresh anchovies marinated in vinegar and extra virgin olive oil
main
Paella Valenciana
Traditional Spanish dish with rice, chicken, shrimp, squid and mussels
or
Garbanzos de la Castilla (Castilian Spinach and Chickpea stew) (vegetarian)
Galician style stewed pork with seasonal vegetables
or
Pollo al Chilindron
Chicken with peppers, tomatoes, onions and Spanish ham
desserts
Delicias de Queso de Cabra
Goat cheese fritters with honey and seville orange jelly
or
Tarta de Santiago
Spanish almond cake
or
Flan
Spanish custard"
"1529980372-348","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Ristorante Boccaccio","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerBrodetto di Cozze
Steamed mussels with julienne vegetables in a garlic white wine broth
or
Summer Citrus and Fennel Salad
Shaved fennel with blood orange, Sicilian olives, grapefruit, and extra virgin olive oil
or
Mozzarella in Carrozza
Crispy artisanal Italian bread with fior di latte mozzarella and anchovy butter
main
Veal Paillarde
Grilled veal served with fire roasted tomatoes and parmigiana truffle fries
or
Spaghetti all'Amatriciana
With guanciale and onions in a spicy tomato sauce
or
Zucchini and Shrimp Risotto
Grana Padano and basil
desserts
Watermelon Mint Sorbet
or
Torta di Pesche e Cilliegie
Vanilla sponge cake with peaches and cherries
or
Pistachio semi-freddo","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerCaprese Salad
Fior di latte, tomatoes, basil, balsamic, and extra virgin olive oil
or
Eggplant Rouloude
Stuffed with smoked provolone and prosciutto
or
House Smoked Salmon
Ice wine apple puree, crème fraiche
main
Scialatelle Boccaccio
Homemade spinach fettucine, shellfish in a white wine sauce
or
Filetto di Manzo
Grilled sirloin steak in a red wine demi glaze, fire roasted tomatoes, parmigiana truffle fries
or
Grilled Swordfish
Mango cucumber salsa, Swiss chard, and new potatoes
desserts
Watermelon Mint Sorbet
or
Torta di Pesche e Ciliegie
Vanilla sponge cake with peaches and cherries
or
Pistachio semi-freddo"
"1529980372-358","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","SpeakEasy 21","$23 Lunch","$23 LunchPlus taxes and gratuityappetizerBloody Mary Gazpacho  (vegetarian)
Cucumber, Radish, Cilantro, Herb Oil
or
Mango Sesame Coleslaw  (vegetarian)
Red & Green Cabbage, Mango Carrot, Red Onion, Apple Lime Vinaigrette
or
All Dressed Grilled Corn  (vegetarian)
Paprika, Chives, Grana Padano, Crispy Onions, Guajillo Crema
main
Blackened Chicken Caesar Salad
Romaine, Apple, Raisins, Parmesan, Garlic Herb Croutons, Jalapeno Caesar Dressing
or
Beer Battered Fish n Chips
Sweet Potato Fries, Coleslaw, Chili Tartar Sauce
or
BBQ Tofu Sandwich  (vegetarian)
Creamy chipotle coleslaw, ""Everything"" Onion Bun
desserts
Strawberry Brownie Cheese ""Cake""
Brownie Crumble, New York Style Cheese Cake, Brownie Chunks, Strawberry Compote
or
Summer Berry Trifle
Blueberry & Strawberry Compote, Angel Food Cake, Whip Cream
or
Chocolate Chip Cookie Sundae
Vanilla Gelato, House Made Chocolate Chip Cookie, Chocolate Sauce, Cookie Crumble","$33 Dinner","$33 DinnerPlus taxes and gratuityappetizerBloody Mary Gazpacho  (vegetarian)
Cucumber, Radish, Cilantro, Herb Oil
or
Roasted Red Pepper Hummus (vegetarian)
Chickpeas, Tahini, Olive Crumble, Chives, Sundried Tomatoes, Feta, Olive Oil
or
Shrimp Ceviche
Cucumber, Bell Peppers, Onion, Mandarin Orange, Avocado, Citrus, served with House Made Corn Chips
main
Jalapeno Cheddar Pierogis (vegetarian)
Pickled Onions, Brussels Sprouts, Dill Crema
or
BBQ Chicken Sandwich
Arugula, Tomato, Garlic Aioli, ""Everything"" Onion Bun
or
Southern Spiced Trout
Cucumber, Tomato, Bell Pepper, Quinoa, Dill Crema
desserts
Strawberry Brownie Cheese ""Cake""
Brownie Crumble, New York Style Cheese Cake, Brownie Chunks, Strawberry Compote
or
Summer Berry Trifle
Blueberry & Strawberry Compote, Angel Food Cake, Whip Cream
or
Chocolate Chip Cookie Sundae
Vanilla Gelato, House Made Chocolate Chip Cookie, Chocolate Sauce, Cookie Crumble"
"1529980372-324","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Nami Japanese Restaurant","$28 Lunch","$28 LunchPlus taxes and gratuityappetizerSashimi
Four pieces of sashimi (akami blue fin red tuna, salmon, butterfish and BC tuna), served with a small lunch salad and miso soup
or
Sushi
Three pieces of sushi (akami blue fin red tuna, salmon and Ebi boiled shrimp) and two pieces of spicy tuna roll, served with a small lunch salad
or
Tempura
Two pieces of shrimp tempura and three pieces of vegetable tempura, served with a small lunch salad
or
Seafood Salad
Boiled shrimps, boiled octopus, crab cakes and tobiko on top of garden salad with creamy ginger dressing

 (lunch appetizers served with miso soup)
main
Sushi Moriawase
Five pieces of sushi (akami blue fin red tuna, salmon, ebi boiled shrimp, butterfish and BC tuna) and three pieces of spicy tuna roll (no substitutions)
or
Salmon Ikura Don
Salmon sashimi, ikura salmon roe and oba leaf on a bed of white rice
or
Chicken Teriyaki
Dark meat chicken pieces char-grilled with house teriyaki sauce, served with a bowl of white rice
or
Salmon Teriyaki
Fresh Atlantic salmon fillet, char-grilled with house teriyaki sauce, served with a bowl of white rice
desserts
Hoji Cha Pudding
or
Fruit
or
Matcha Ice Cream with Azuki","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerSashimi
Five pieces of sashimi (akami blue fin red tuna, salmon, Hamachi, butterfish and BC tuna)
or
BC Tuna Tataki
Seared albacore tuna sashimi with ponzu sauce on sliced onions, topped with green onions, garlic, grated ginger and momiji-oroshi
or
Sushi
Five pieces of sushi (akami blue fin red tuna, salmon, Hamachi, butterfish and ebi boiled shrimp)
or
Tempura
Three pieces of shrimp tempura and four pieces of vegetable tempura
or
Hon-Maguro Akami Wasabi-Ae
Blue fin red tuna diced and marinated with pickled wasabi leaves, hon-wasabi and house made tosa soy sauce topped with shredded yamaimo (Japanese sticky yam) and nori seaweed

 (dinner appetizers served with miso soup)
main
Sushi Moriawase
8 pieces sushi (akami blue fin red tuna, salmon, ebi, BC tuna, hirame, saba, hamachi and tobiko) and 3 pieces salmon and avocado roll
or
Sashimi Moriawase
6 pieces of sashimi (akami blue fin red tuna, salmon, hamachi, saba, tako and hirame), served with a bowl of white rice
or
Salmon Teriyaki
Fresh Atlantic salmon fillet char-grilled with house teriyaki sauce, served with a bowl of white rice
or
Beef Teriyaki
Black angus beef steak char-grilled with house teriyaki sauce, served with a bowl of white rice
or
Unagi Don
Char-grilled BBQ eel on a bed of white rice
desserts
Hogi Cha Pudding
or
Fruit
or
Matcha Ice Cream with Azuki"
"1529980372-385","https://www.toronto.ca/explore-enjoy/festivals-events/summerlicious/summerlicious-restaurants-menus/?view=tabList","Ufficio","null","null","$43 Dinner","$43 DinnerPlus taxes and gratuityappetizerOrata Crudo
cured orata (seabream), cucumber, herbed foam, chilli dust
or
Fritto Misto di Verdure  (local)
lightly fried Ontario Summer legumes, tonnato, pecorino, mint
or
Ontario Heirloom Tomato Crudo  (vegan/local)
heirloom tomatoes, chickpea puree and pickled red onions, basil vinaigrette
or
Insalata di Barbabietola (vegetarian/can be made vegan/local)
roasted beets, pistachio butter, pickled cherries, watercress
or
Insalata di Puntarelle
puntarelle, treviso, anchovy vinaigrette, ricotta salata, black truffle
main
Cavatoni  (vegetarian/can be made vegan)
with zucchini sauce, buffalo mozzarella, bread crumbs
or
Agnolotti (vegan)
Cashew, tofu & swiss chard filled ravioli with an herbed vegan butter sauce finished with vegan parma
or
Pesce
grilled red snapper, potato puree, zucchini, shallots, oregano
or
Tortelletti
shrimp and scallop filled Tortelletti with smoked tomato brodo
desserts
Pan di Spagna
sponge cake, rum soaked cherries, dark chocolate glaze, mascarpone
or
Affogato
hazelnut gelato, espresso, crumbled hazelnut, lady fingers
or
Formaggio
Italian cheese with citrus peel marmalade
or
Sorbet (vegan)
Ask your server"
